freGHz,amplitude
2.4,-50.024063
2.401,-49.737686
2.4019999999999997,-49.449688
2.403,-49.630695
2.404,-49.632793
2.405,-49.51158
2.4059999999999997,-49.212597
2.407,-49.460148
2.408,-49.27364
2.409,-49.3351
2.4099999999999997,-49.406704
2.411,-49.246155
2.412,-49.310307
2.413,-48.968216
2.4139999999999997,-49.023087
2.415,-48.918934
2.416,-48.767857
2.417,-49.042797
2.4179999999999997,-48.77925
2.419,-48.77054
2.42,-48.881145
2.421,-48.844257
2.4219999999999997,-48.817455
2.423,-48.888218
2.424,-48.67633
2.425,-48.74527
2.4259999999999997,-48.641796
2.427,-48.398666
2.428,-48.56194
2.429,-48.47061
2.4299999999999997,-48.383083
2.431,-48.45627
2.432,-48.13571
2.433,-48.226482
2.4339999999999997,-48.270092
2.435,-48.22008
2.436,-48.394398
2.437,-48.04059
2.4379999999999997,-48.24812
2.439,-47.846725
2.44,-48.024475
2.441,-48.03107
2.4419999999999997,-47.900845
2.443,-47.847168
2.444,-47.55064
2.445,-47.723404
2.4459999999999997,-47.579758
2.447,-47.670193
2.448,-47.602264
2.449,-47.43153
2.4499999999999997,-47.628677
2.451,-47.4399
2.452,-47.248646
2.453,-47.41466
2.4539999999999997,-47.588764
2.455,-47.313736
2.456,-47.3421
2.457,-47.16139
2.4579999999999997,-47.2309
2.459,-47.22331
2.46,-47.15631
2.461,-47.288715
2.4619999999999997,-47.11328
2.463,-47.12373
2.464,-46.746365
2.465,-46.824947
2.4659999999999997,-46.947147
2.467,-46.716858
2.468,-46.74841
2.469,-46.62706
2.4699999999999998,-46.79951
2.471,-46.765842
2.472,-46.687634
2.473,-46.55051
2.4739999999999998,-46.33872
2.475,-46.48995
2.476,-46.559784
2.477,-46.524094
2.4779999999999998,-46.4034
2.479,-46.56093
2.48,-46.26367
2.481,-46.244366
2.4819999999999998,-46.221104
2.483,-46.33539
2.484,-46.112858
2.485,-46.182465
2.4859999999999998,-46.016224
2.487,-46.062244
2.488,-46.084076
2.489,-46.152283
2.4899999999999998,-46.035206
2.491,-45.797276
2.492,-45.762432
2.493,-45.934788
2.4939999999999998,-45.805267
2.495,-45.694347
2.496,-45.74114
2.497,-45.65842
2.4979999999999998,-45.6731
2.499,-45.37906
2.5,-45.61621
2.501,-45.651463
2.502,-45.626446
2.503,-45.49432
2.504,-45.354015
2.505,-45.403217
2.506,-45.35744
2.507,-45.38553
2.508,-45.501816
2.509,-45.38368
2.51,-45.134075
2.511,-45.34609
2.512,-45.20148
2.513,-45.201923
2.514,-45.227005
2.515,-45.236553
2.516,-45.10382
2.517,-45.17207
2.518,-45.04671
2.519,-45.06145
2.52,-45.110657
2.521,-44.931442
2.522,-45.137165
2.523,-45.105835
2.524,-45.060013
2.525,-45.07332
2.526,-45.15547
2.527,-44.839947
2.528,-45.080597
2.529,-45.130985
2.53,-44.98238
2.531,-44.940536
2.532,-44.999393
2.533,-45.05055
2.534,-44.937145
2.535,-44.932404
2.536,-44.937683
2.537,-44.875957
2.538,-44.838886
2.539,-44.812454
2.54,-44.655136
2.541,-44.892284
2.542,-44.76123
2.543,-44.79091
2.544,-44.91274
2.545,-44.75616
2.546,-44.72832
2.547,-44.897583
2.548,-44.606228
2.549,-44.685226
2.55,-44.742645
2.551,-44.724392
2.552,-44.907803
2.553,-44.67699
2.554,-44.64589
2.5549999999999997,-44.813816
2.556,-44.5659
2.557,-44.658142
2.558,-44.58048
2.559,-44.666737
2.56,-44.625927
2.561,-44.542545
2.562,-44.69193
2.5629999999999997,-44.635204
2.564,-44.639175
2.565,-44.60535
2.566,-44.50297
2.567,-44.7023
2.568,-44.542034
2.569,-44.413467
2.57,-44.63985
2.5709999999999997,-44.73479
2.572,-44.54826
2.573,-44.600983
2.574,-44.52582
2.575,-44.460815
2.576,-44.577393
2.577,-44.35503
2.578,-44.370235
2.5789999999999997,-44.58739
2.58,-44.333675
2.581,-44.65573
2.582,-44.38391
2.583,-44.443165
2.584,-44.41984
2.585,-44.580414
2.586,-44.336643
2.5869999999999997,-44.327396
2.588,-44.288235
2.589,-44.29227
2.59,-44.25038
2.591,-44.12852
2.592,-44.23379
2.593,-44.23796
2.594,-44.375065
2.5949999999999998,-44.519028
2.596,-44.261093
2.597,-44.10805
2.598,-44.235775
2.5989999999999998,-44.099903
2.6,-44.185303
2.601,-44.238403
2.602,-44.27916
2.6029999999999998,-44.32729
2.604,-44.12386
2.605,-44.24941
2.606,-44.48489
2.6069999999999998,-44.289608
2.608,-44.072712
2.609,-44.26523
2.61,-44.24959
2.6109999999999998,-44.16135
2.612,-44.105366
2.613,-44.10614
2.614,-44.177845
2.6149999999999998,-44.330494
2.616,-44.107502
2.617,-43.957355
2.618,-44.170467
2.6189999999999998,-44.221283
2.62,-44.019547
2.621,-43.94031
2.622,-43.92931
2.6229999999999998,-44.017292
2.624,-44.041157
2.625,-43.808914
2.626,-43.88808
2.627,-44.003323
2.628,-43.9083
2.629,-43.786835
2.63,-43.884583
2.631,-43.748325
2.632,-43.836056
2.633,-43.812977
2.634,-43.773926
2.635,-43.750835
2.636,-43.66982
2.637,-43.555832
2.638,-43.724316
2.639,-43.549683
2.64,-43.581707
2.641,-43.878796
2.642,-43.4006
2.643,-43.459885
2.644,-43.58902
2.645,-43.503784
2.646,-43.43323
2.647,-43.531353
2.648,-43.415417
2.649,-43.45514
2.65,-43.375675
2.651,-43.364864
2.652,-43.24995
2.653,-43.35782
2.654,-43.165737
2.655,-43.23167
2.656,-43.200436
2.657,-43.174244
2.658,-43.10928
2.659,-43.184628
2.66,-43.0703
2.661,-43.027603
2.662,-42.950756
2.663,-43.06972
2.664,-43.039932
2.665,-42.903652
2.666,-42.870148
2.667,-42.943756
2.668,-42.810482
2.669,-42.799488
2.67,-42.800312
2.671,-42.8467
2.672,-42.779163
2.673,-42.720478
2.674,-42.54255
2.675,-42.612186
2.676,-42.50891
2.677,-42.466343
